Datum,IC_Bedden_COVID,IC_Bedden_Non_COVID,Kliniek_Bedden,IC_Nieuwe_Opnames_COVID,Kliniek_Nieuwe_Opnames_COVID,
20-07-2021,100,543,315,20,76,643
19-07-2021,84,527,277,9,54,611
18-07-2021,76,535,235,2,42,611
17-07-2021,77,572,207,5,50,649
16-07-2021,75,597,190,5,49,672
15-07-2021,72,613,158,3,35,685
14-07-2021,74,591,138,3,18,665
13-07-2021,75,584,129,2,16,659
12-07-2021,84,535,129,3,12,619
11-07-2021,88,561,118,4,9,649
10-07-2021,82,614,123,1,12,696
09-07-2021,86,597,120,1,14,683
08-07-2021,90,606,106,1,9,696
07-07-2021,104,607,102,0,8,711
06-07-2021,103,583,109,2,8,686
05-07-2021,110,575,126,3,8,685
04-07-2021,99,534,126,0,4,633
03-07-2021,102,564,128,0,8,666
02-07-2021,108,577,140,0,11,685
01-07-2021,119,574,159,1,9,693
30-06-2021,128,586,168,0,11,714
29-06-2021,127,577,182,0,12,704
28-06-2021,142,516,189,4,8,658
27-06-2021,141,550,204,3,12,691
26-06-2021,141,575,198,3,19,716
25-06-2021,147,599,216,2,9,746
24-06-2021,158,571,234,1,11,729
23-06-2021,170,578,255,5,24,748
22-06-2021,185,573,277,4,19,758
21-06-2021,197,541,294,5,12,738
20-06-2021,NA,NA,NA,NA,NA,
19-06-2021,NA,NA,NA,NA,NA,
18-06-2021,218,565,315,4,32,783
17-06-2021,226,580,347,5,32,806
16-06-2021,239,602,366,8,32,841
15-06-2021,250,541,395,6,39,791
14-06-2021,263,524,418,8,24,787
13-06-2021,265,526,411,8,26,791
12-06-2021,269,541,403,5,46,810
11-06-2021,281,565,448,8,51,846
10-06-2021,297,554,486,11,40,851
09-06-2021,304,531,530,6,49,835
08-06-2021,321,516,616,3,49,837
07-06-2021,343,468,650,7,51,811
06-06-2021,344,503,654,11,47,847
05-06-2021,351,531,658,7,76,882
04-06-2021,377,554,688,14,63,931
03-06-2021,394,541,704,10,74,935
02-06-2021,420,518,769,8,69,938
01-06-2021,447,510,793,6,77,957
31-05-2021,477,495,850,10,55,972
30-05-2021,486,479,841,14,75,965
29-05-2021,499,522,853,17,93,1021
28-05-2021,521,543,919,27,93,1064
27-05-2021,541,521,971,14,69,1062
26-05-2021,559,507,1059,15,93,1066
25-05-2021,579,441,1102,18,105,1020
24-05-2021,598,416,1097,19,92,1014
23-05-2021,610,414,1104,27,96,1024
22-05-2021,602,444,1129,24,139,1046
21-05-2021,608,475,1214,24,135,1083
20-05-2021,621,486,1278,21,138,1107
19-05-2021,637,479,1365,29,158,1116
18-05-2021,646,476,1503,33,199,1122
17-05-2021,681,427,1502,23,115,1108
16-05-2021,686,429,1466,26,137,1115
15-05-2021,710,442,1473,40,220,1152
14-05-2021,728,414,1522,22,141,1142
13-05-2021,733,422,1498,35,205,1155
12-05-2021,738,477,1607,40,209,1215
11-05-2021,748,444,1732,29,255,1192
10-05-2021,757,385,1730,38,183,1142
09-05-2021,767,395,1668,24,175,1162
08-05-2021,778,406,1700,37,264,1184
07-05-2021,797,403,1724,44,243,1200
06-05-2021,807,409,1744,41,218,1216
05-05-2021,830,406,1715,47,244,1236
04-05-2021,818,408,1795,47,272,1226
03-05-2021,825,366,1817,47,210,1191
02-05-2021,804,366,1796,40,174,1170
01-05-2021,811,403,1827,60,260,1214
30-04-2021,807,423,1899,48,311,1230
29-04-2021,813,440,1891,42,296,1253
28-04-2021,814,406,1797,42,232,1220
27-04-2021,820,420,1777,57,335,1240
26-04-2021,813,404,1759,35,212,1217
25-04-2021,841,381,1691,48,207,1222
24-04-2021,816,413,1698,49,273,1229
23-04-2021,837,441,1776,49,237,1278
22-04-2021,839,419,1843,37,289,1258
21-04-2021,822,428,1792,47,296,1250
20-04-2021,823,425,1830,58,327,1248
19-04-2021,813,394,1731,44,188,1207
18-04-2021,808,377,1670,56,228,1185
17-04-2021,802,413,1626,60,271,1215
16-04-2021,792,426,1698,51,242,1218
15-04-2021,789,421,1688,39,232,1210
14-04-2021,784,430,1715,46,228,1214
13-04-2021,794,454,1760,45,261,1248
12-04-2021,794,387,1788,45,226,1181
11-04-2021,788,375,1729,45,218,1163
10-04-2021,787,404,1704,53,304,1191
09-04-2021,784,421,1711,45,262,1205
08-04-2021,798,435,1727,57,269,1233
07-04-2021,776,429,1782,57,285,1205
06-04-2021,750,387,1748,44,207,1137
05-04-2021,746,369,1628,58,205,1115
04-04-2021,730,367,1587,53,177,1097
03-04-2021,734,407,1614,54,243,1141
02-04-2021,705,419,1625,48,276,1124
01-04-2021,688,433,1639,61,276,1121
31-03-2021,681,439,1653,42,257,1120
30-03-2021,682,453,1728,50,293,1135
29-03-2021,675,431,1667,36,188,1106
28-03-2021,655,402,1593,41,182,1057
27-03-2021,643,452,1595,51,296,1095
26-03-2021,625,460,1596,44,240,1085
25-03-2021,619,471,1573,34,249,1090
24-03-2021,625,483,1562,37,219,1108
23-03-2021,623,475,1575,32,282,1098
22-03-2021,638,443,1555,50,167,1081
21-03-2021,611,408,1462,31,194,1019
20-03-2021,602,456,1445,54,268,1058
19-03-2021,579,480,1462,46,237,1059
18-03-2021,564,477,1436,29,205,1041
17-03-2021,568,491,1424,36,194,1059
16-03-2021,586,473,1451,38,225,1059
15-03-2021,564,441,1455,46,177,1005
14-03-2021,554,428,1368,37,191,982
13-03-2021,554,479,1321,44,224,1033
